benchmark_name,workload_name,round_1_time,round_1_param,round_2_time,round_2_param,round_3_time,round_3_param,round_4_time,round_4_param,round_5_time,round_5_param,round_6_time,round_6_param,round_7_time,round_7_param,round_8_time,round_8_param,round_9_time,round_9_param,round_10_time,round_10_param,round_11_time,round_11_param,round_12_time,round_12_param,round_13_time,round_13_param,round_14_time,round_14_param,round_15_time,round_15_param,round_16_time,round_16_param
bert_cpu,bert_eval,263.2342,data: --seq_len 512; workload: --threads 8;,189.3731,data: --seq_len 796; workload: --threads 56;,97.4214,data: --seq_len 512; workload: --threads 27;,224.6806,data: --seq_len 739; workload: --threads 42;,255.6796,data: --seq_len 910; workload: --threads 42;,132.569,data: --seq_len 512; workload: --threads 59;,275.3623,data: --seq_len 967; workload: --threads 42;,178.6876,data: --seq_len 682; workload: --threads 59;,193.5179,data: --seq_len 739; workload: --threads 47;,171.1652,data: --seq_len 682; workload: --threads 42;,2123.2793,data: --seq_len 568; workload: --threads 1;,210.429,data: --seq_len 796; workload: --threads 44;,179.4608,data: --seq_len 739; workload: --threads 28;,400.0418,data: --seq_len 739; workload: --threads 9;,288.8109,data: --seq_len 967; workload: --threads 38;,153.3842,data: --seq_len 682; workload: --threads 43;
biogo-benchmark,biogo-igor,990.094,workload: --seq 55555 --threads 64;,919.3737,workload: --seq 88888 --threads 13;,1427.2543,workload: --seq 83333 --threads 56;,1239.7723,workload: --seq 100000 --threads 25;,1028.3236,workload: --seq 88888 --threads 17;,1026.1582,workload: --seq 88888 --threads 17;,941.4815,workload: --seq 61111 --threads 43;,688.6217,workload: --seq 61111 --threads 13;,494.0955,workload: --seq 50000 --threads 6;,1222.1579,workload: --seq 72222 --threads 55;,678.2568,workload: --seq 61111 --threads 10;,1499.9773,workload: --seq 88888 --threads 55;,1491.7302,workload: --seq 88888 --threads 54;,946.9,workload: --seq 88888 --threads 16;,891.7117,workload: --seq 77777 --threads 14;,1121.5373,workload: --seq 94444 --threads 27;
bleve_benchmark,bleve-index,483.2864,workload: --documents 2222 --threads 12;,778.9498,workload: --documents 3777 --threads 7;,1118.2902,workload: --documents 4000 --threads 17;,1595.6996,workload: --documents 3333 --threads 50;,1883.1505,workload: --documents 3333 --threads 61;,1005.0838,workload: --documents 2666 --threads 36;,1305.668,workload: --documents 2666 --threads 53;,1748.7794,workload: --documents 3333 --threads 57;,682.1155,workload: --documents 3333 --threads 5;,984.0234,workload: --documents 2444 --threads 41;,992.8273,workload: --documents 2444 --threads 41;,962.7555,workload: --documents 2222 --threads 47;,964.0758,workload: --documents 3111 --threads 24;,1195.5289,workload: --documents 3333 --threads 34;,1270.9205,workload: --documents 2444 --threads 41;,1219.0466,workload: --documents 2666 --threads 53;
c_compiler_benchmark,clang_compile,921.9936,data: --func_size 188; workload: --opt O2 --threads 52;,516.8634,data: --func_size 100; workload: --opt O1 --threads 60;,743.1162,data: --func_size 188; workload: --opt O3 --threads 7;,610.1408,data: --func_size 133; workload: --opt O3 --threads 28;,571.3208,data: --func_size 111; workload: --opt O3 --threads 44;,786.7271,data: --func_size 166; workload: --opt O2 --threads 30;,942.8965,data: --func_size 200; workload: --opt O3 --threads 30;,455.9702,data: --func_size 100; workload: --opt O1 --threads 20;,854.4811,data: --func_size 177; workload: --opt O1 --threads 34;,656.6741,data: --func_size 133; workload: --opt O3 --threads 36;,536.5471,data: --func_size 111; workload: --opt O2 --threads 18;,570.8174,data: --func_size 111; workload: --opt O2 --threads 43;,9085.6474,data: --func_size 133; workload: --opt O3 --threads 37;,5721.8947,data: --func_size 100; workload: --opt O3 --threads 50;,12527.0747,data: --func_size 188; workload: --opt O3 --threads 52;,5895.2995,data: --func_size 100; workload: --opt O2 --threads 4;
c_compiler_benchmark,gcc_compile,1408.1695,data: --func_size 133; workload: --opt O3 --threads 41;,1596.5053,data: --func_size 188; workload: --opt O1 --threads 53;,1927.2439,data: --func_size 188; workload: --opt O2 --threads 33;,1281.6647,data: --func_size 100; workload: --opt O2 --threads 57;,2252.6838,data: --func_size 177; workload: --opt O2 --threads 42;,1100.0272,data: --func_size 111; workload: --opt O3 --threads 33;,1840.0662,data: --func_size 200; workload: --opt O2 --threads 12;,2618.5959,data: --func_size 188; workload: --opt O2 --threads 53;,589.6709,data: --func_size 111; workload: --opt O1 --threads 2;,644.9742,data: --func_size 111; workload: --opt O1 --threads 17;,1625.3609,data: --func_size 155; workload: --opt O3 --threads 28;,766.2442,data: --func_size 133; workload: --opt O1 --threads 9;,1196.2921,data: --func_size 188; workload: --opt O1 --threads 15;,1102.9989,data: --func_size 133; workload: --opt O1 --threads 47;,1997.3807,data: --func_size 177; workload: --opt O3 --threads 32;,961.7189,data: --func_size 100; workload: --opt O3 --threads 40;
cassandra_benchmark,cassandra_stress_read,1159.5304,workload: --read-n 1666666 --threads 2;,187.8697,workload: --read-n 1555555 --threads 22;,192.9841,workload: --read-n 1444444 --threads 20;,285.9531,workload: --read-n 1000000 --threads 7;,670.1775,workload: --read-n 1555555 --threads 4;,170.3454,workload: --read-n 1333333 --threads 57;,135.2761,workload: --read-n 1000000 --threads 52;,144.121,workload: --read-n 1000000 --threads 19;,181.8185,workload: --read-n 1333333 --threads 20;,247.4985,workload: --read-n 2000000 --threads 48;,220.8447,workload: --read-n 1777777 --threads 47;,232.5851,workload: --read-n 1777777 --threads 20;,797.3649,workload: --read-n 1222222 --threads 3;,217.5439,workload: --read-n 1666666 --threads 23;,184.8897,workload: --read-n 1444444 --threads 50;,227.3099,workload: --read-n 2000000 --threads 44;
chaos_fractal,chaos-fractal,4680.4899,data: --width 2275; workload: --threads 21;,4884.9599,data: --width 2275; workload: --threads 32;,4236.3162,data: --width 2048; workload: --threads 14;,4244.8336,data: --width 2048; workload: --threads 52;,5253.198,data: --width 3640; workload: --threads 18;,4871.3008,data: --width 3868; workload: --threads 48;,5181.748,data: --width 2503; workload: --threads 35;,5194.6888,data: --width 2958; workload: --threads 5;,5250.8778,data: --width 3640; workload: --threads 15;,3955.6326,data: --width 3185; workload: --threads 55;,4595.3025,data: --width 4096; workload: --threads 63;,5216.384,data: --width 2275; workload: --threads 21;,4405.6604,data: --width 2048; workload: --threads 61;,5236.4062,data: --width 3640; workload: --threads 21;,5225.3662,data: --width 2730; workload: --threads 6;,4686.3128,data: --width 2048; workload: --threads 44;
cockroachdb_benchmark,kv,813.836,workload: --max-ops 1000000 --threads 7;,653.2598,workload: --max-ops 733333 --threads 2;,1001.3253,workload: --max-ops 1200000 --threads 6;,1675.1135,workload: --max-ops 933333 --threads 64;,497.5014,workload: --max-ops 600000 --threads 15;,883.8046,workload: --max-ops 1066666 --threads 6;,1502.0387,workload: --max-ops 733333 --threads 64;,698.9812,workload: --max-ops 800000 --threads 22;,948.854,workload: --max-ops 866666 --threads 39;,752.493,workload: --max-ops 733333 --threads 33;,1845.6867,workload: --max-ops 1200000 --threads 55;,910.8194,workload: --max-ops 1066666 --threads 3;,923.7086,workload: --max-ops 1133333 --threads 11;,1012.2699,workload: --max-ops 933333 --threads 34;,1408.1966,workload: --max-ops 1133333 --threads 31;,1837.4779,workload: --max-ops 933333 --threads 61;
cockroachdb_benchmark,tpcc,966.8966,workload: --max-ops 16666 --threads 15;,1229.71,workload: --max-ops 21666 --threads 12;,2274.1903,workload: --max-ops 28333 --threads 40;,1598.1844,workload: --max-ops 23333 --threads 52;,1215.4761,workload: --max-ops 20000 --threads 28;,1428.2827,workload: --max-ops 30000 --threads 7;,2077.2094,workload: --max-ops 28333 --threads 37;,1970.5217,workload: --max-ops 30000 --threads 39;,1152.8549,workload: --max-ops 15000 --threads 64;,2073.5637,workload: --max-ops 28333 --threads 48;,1720.176,workload: --max-ops 25000 --threads 52;,1899.3155,workload: --max-ops 26666 --threads 47;,1258.8526,workload: --max-ops 16666 --threads 47;,1423.5866,workload: --max-ops 18333 --threads 58;,2479.6405,workload: --max-ops 30000 --threads 60;,1393.7751,workload: --max-ops 28333 --threads 8;
deltablue,deltablue,3235.693,workload: --n 188888 --threads 60;,2567.9418,workload: --n 144444 --threads 61;,1948.6199,workload: --n 200000 --threads 20;,1782.1507,workload: --n 177777 --threads 1;,2901.8582,workload: --n 177777 --threads 60;,2545.4435,workload: --n 166666 --threads 61;,4073.459,workload: --n 200000 --threads 64;,1865.688,workload: --n 177777 --threads 17;,1936.4461,workload: --n 144444 --threads 60;,2033.7947,workload: --n 188888 --threads 14;,2406.5755,workload: --n 188888 --threads 40;,2737.4749,workload: --n 188888 --threads 47;,2510.9746,workload: --n 166666 --threads 58;,1121.0942,workload: --n 122222 --threads 4;,1225.1961,workload: --n 122222 --threads 34;,1138.956,workload: --n 111111 --threads 63;
