suite,benchmark,seconds_run_1,seconds_run_2,seconds_run_3,final_seconds
specratefp,503.bwaves_r,1958,1956,,1958
specratefp,507.cactuBSSN_r,660,662,,662
specratefp,508.namd_r,482,481,,482
specratefp,510.parest_r,2264,2266,,2266
specratefp,511.povray_r,1022,1027,,1027
specratefp,519.lbm_r,1598,1601,,1601
specratefp,521.wrf_r,1187,1156,,1187
specratefp,526.blender_r,804,806,,806
specratefp,527.cam4_r,819,817,,819
specratefp,538.imagick_r,1018,1017,,1018
specratefp,544.nab_r,673,673,,673
specratefp,549.fotonik3d_r,2115,2115,,2115
specratefp,554.roms_r,1364,1368,,1368
specrateint,500.perlbench_r,909,913,,913
specrateint,502.gcc_r,845,844,,845
specrateint,505.mcf_r,1184,1184,,1184
specrateint,520.omnetpp_r,1138,1137,,1138
specrateint,523.xalancbmk_r,721,723,,723
specrateint,525.x264_r,475,474,,475
specrateint,531.deepsjeng_r,706,707,,707
specrateint,541.leela_r,1034,1035,,1035
specrateint,548.exchange2_r,938,937,,938
specrateint,557.xz_r,868,869,,869
specspeedfp,603.bwaves_s,288,297,,297
specspeedfp,607.cactuBSSN_s,172,180,,180
specspeedfp,619.lbm_s,206,200,,206
specspeedfp,621.wrf_s,280,283,,283
specspeedfp,627.cam4_s,3124,3830,,3830
specspeedfp,628.pop2_s,495,453,,495
specspeedfp,638.imagick_s,306,306,,306
specspeedfp,644.nab_s,140,140,,140
specspeedfp,649.fotonik3d_s,271,197,,271
specspeedfp,654.roms_s,247,248,,248
specspeedint,600.perlbench_s,946,899,,946
specspeedint,602.gcc_s,1121,1129,,1129
specspeedint,605.mcf_s,1622,1410,,1622
specspeedint,620.omnetpp_s,771,786,,786
specspeedint,623.xalancbmk_s,464,457,,464
specspeedint,625.x264_s,315,315,,315
specspeedint,631.deepsjeng_s,638,639,,639
specspeedint,641.leela_s,847,839,,847
specspeedint,648.exchange2_s,462,466,,466
specspeedint,657.xz_s,458,461,,461
