benchmark_name,workload_name,round_1_time,round_1_param,round_2_time,round_2_param,round_3_time,round_3_param,round_4_time,round_4_param,round_5_time,round_5_param,round_6_time,round_6_param,round_7_time,round_7_param,round_8_time,round_8_param,round_9_time,round_9_param,round_10_time,round_10_param,round_11_time,round_11_param,round_12_time,round_12_param,round_13_time,round_13_param,round_14_time,round_14_param,round_15_time,round_15_param,round_16_time,round_16_param
opencv_benchmark,mandelbrot,929.143,workload: --size 739 --threads 34;,929.364,workload: --size 682 --threads 58;,1137.315,workload: --size 853 --threads 57;,1115.635,workload: --size 796 --threads 26;,1137.151,workload: --size 682 --threads 29;,1245.718,workload: --size 910 --threads 37;,918.891,workload: --size 1024 --threads 63;,1245.802,workload: --size 739 --threads 63;,928.881,workload: --size 910 --threads 4;,1116.07,workload: --size 967 --threads 58;,928.944,workload: --size 1024 --threads 49;,928.858,workload: --size 910 --threads 40;,1137.64,workload: --size 967 --threads 64;,1116.539,workload: --size 739 --threads 51;,917.651,workload: --size 853 --threads 27;,917.888,workload: --size 625 --threads 5;
opencv_benchmark,jacobi,1418.285,workload: --size 1024 --threads 18;,3704.892,workload: --size 2048 --threads 18;,7244.7,workload: --size 1137 --threads 55;,1426.319,workload: --size 1024 --threads 19;,3838.521,workload: --size 1706 --threads 9;,3633.801,workload: --size 1820 --threads 13;,1316.69,workload: --size 2048 --threads 12;,3487.928,workload: --size 1934 --threads 5;,3484.954,workload: --size 1137 --threads 42;,2144.348,workload: --size 1365 --threads 30;,1651.858,workload: --size 1479 --threads 30;,5305.139,workload: --size 2048 --threads 51;,3634.172,workload: --size 1934 --threads 3;,3263.304,workload: --size 1592 --threads 41;,3758.411,workload: --size 2048 --threads 44;,1318.337,workload: --size 1479 --threads 15;
opencv_benchmark,canny,522.377,workload: --size 1251 --threads 32;,499.987,workload: --size 1137 --threads 55;,1184.16,workload: --size 2048 --threads 2;,425.375,workload: --size 1137 --threads 4;,553.929,workload: --size 1251 --threads 6;,1252.608,workload: --size 1706 --threads 25;,434.726,workload: --size 1024 --threads 61;,738.2,workload: --size 1479 --threads 9;,761.064,workload: --size 1365 --threads 29;,1747.139,workload: --size 2048 --threads 53;,383.571,workload: --size 1024 --threads 46;,1694.792,workload: --size 2048 --threads 17;,1237.844,workload: --size 1706 --threads 31;,344.12,workload: --size 1024 --threads 36;,495.958,workload: --size 1137 --threads 19;,815.194,workload: --size 1592 --threads 25;
opencv_benchmark,optical_flow,1696.312,workload: --size 853 --threads 34;,648.85,workload: --size 568 --threads 24;,883.515,workload: --size 682 --threads 15;,972.629,workload: --size 739 --threads 6;,820.049,workload: --size 682 --threads 4;,2279.324,workload: --size 1024 --threads 38;,2364.385,workload: --size 1024 --threads 45;,1702.418,workload: --size 853 --threads 31;,1552.956,workload: --size 853 --threads 9;,987.748,workload: --size 682 --threads 44;,732.865,workload: --size 625 --threads 10;,1657.6,workload: --size 910 --threads 11;,747.434,workload: --size 625 --threads 19;,1316.749,workload: --size 796 --threads 32;,828.945,workload: --size 625 --threads 41;,1364.104,workload: --size 853 --threads 3;
opencv_benchmark,color_tracking,2345.479,workload: --size 1680 --threads 55;,3437.732,workload: --size 1920 --threads 36;,3563.59,workload: --size 2160 --threads 10;,1595.424,workload: --size 1320 --threads 32;,1301.09,workload: --size 1200 --threads 32;,2179.964,workload: --size 1560 --threads 30;,1045.078,workload: --size 1200 --threads 53;,2923.204,workload: --size 1920 --threads 37;,3939.79,workload: --size 2160 --threads 60;,1934.588,workload: --size 1440 --threads 59;,2006.716,workload: --size 1560 --threads 51;,3745.663,workload: --size 2160 --threads 40;,1881.56,workload: --size 1440 --threads 38;,2180.821,workload: --size 1560 --threads 15;,1957.071,workload: --size 1680 --threads 41;,2064.658,workload: --size 1680 --threads 57;
opencv_benchmark,feature_match,1289.01,workload: --size 739 --threads 52;,822.068,workload: --size 568 --threads 60;,2550.803,workload: --size 1024 --threads 20;,2770.811,workload: --size 1024 --threads 61;,1799.791,workload: --size 853 --threads 26;,1654.695,workload: --size 796 --threads 47;,1133.443,workload: --size 682 --threads 43;,2140.889,workload: --size 910 --threads 30;,1482.302,workload: --size 796 --threads 39;,1691.93,workload: --size 796 --threads 52;,1246.006,workload: --size 739 --threads 6;,2489.5,workload: --size 1024 --threads 49;,2740.063,workload: --size 1024 --threads 55;,838.912,workload: --size 568 --threads 4;,812.601,workload: --size 568 --threads 45;,679.698,workload: --size 512 --threads 41;
biogo-benchmark,biogo-igor,1370.9916,workload: --seq 55555 --threads 64;,1225.6007,workload: --seq 88888 --threads 13;,1786.3714,workload: --seq 83333 --threads 56;,1629.8299,workload: --seq 100000 --threads 25;,1283.1848,workload: --seq 88888 --threads 17;,1261.783,workload: --seq 88888 --threads 17;,1166.7896,workload: --seq 61111 --threads 43;,834.312,workload: --seq 61111 --threads 13;,545.1206,workload: --seq 50000 --threads 6;,1533.5359,workload: --seq 72222 --threads 55;,799.132,workload: --seq 61111 --threads 10;,1885.4429,workload: --seq 88888 --threads 55;,1882.8513,workload: --seq 88888 --threads 54;,1242.8791,workload: --seq 88888 --threads 16;,1088.0436,workload: --seq 77777 --threads 14;,1546.1946,workload: --seq 94444 --threads 27;
bleve_benchmark,bleve-index,513.6056,workload: --documents 2222 --threads 12;,1148.4242,workload: --documents 3777 --threads 7;,1661.7192,workload: --documents 4000 --threads 17;,2669.2697,workload: --documents 3333 --threads 50;,3152.6414,workload: --documents 3333 --threads 61;,1633.347,workload: --documents 2666 --threads 36;,2226.6473,workload: --documents 2666 --threads 53;,2959.3253,workload: --documents 3333 --threads 57;,909.4044,workload: --documents 3333 --threads 5;,1645.4482,workload: --documents 2444 --threads 41;,1646.9932,workload: --documents 2444 --threads 41;,1646.5606,workload: --documents 2222 --threads 47;,1494.009,workload: --documents 3111 --threads 24;,1987.3923,workload: --documents 3333 --threads 34;,1633.3027,workload: --documents 2444 --threads 41;,2233.4452,workload: --documents 2666 --threads 53;
cockroachdb_benchmark,kv,1129.6992,workload: --max-ops 1000000 --threads 7;,754.0348,workload: --max-ops 733333 --threads 2;,1353.3757,workload: --max-ops 1200000 --threads 6;,2022.7202,workload: --max-ops 933333 --threads 64;,677.0108,workload: --max-ops 600000 --threads 15;,1186.7352,workload: --max-ops 1066666 --threads 6;,1736.7693,workload: --max-ops 733333 --threads 64;,926.0059,workload: --max-ops 800000 --threads 22;,1246.6112,workload: --max-ops 866666 --threads 39;,896.5882,workload: --max-ops 733333 --threads 33;,2113.1915,workload: --max-ops 1200000 --threads 55;,1223.2371,workload: --max-ops 1066666 --threads 3;,1272.7524,workload: --max-ops 1133333 --threads 11;,1156.4439,workload: --max-ops 933333 --threads 34;,1361.7341,workload: --max-ops 1133333 --threads 31;,1906.1375,workload: --max-ops 933333 --threads 61;
cockroachdb_benchmark,tpcc,1041.6299,workload: --max-ops 16666 --threads 15;,1190.5091,workload: --max-ops 21666 --threads 12;,1959.3852,workload: --max-ops 28333 --threads 40;,1833.0821,workload: --max-ops 23333 --threads 52;,1203.5512,workload: --max-ops 20000 --threads 28;,1620.3683,workload: --max-ops 30000 --threads 7;,2124.7006,workload: --max-ops 28333 --threads 37;,2447.0077,workload: --max-ops 30000 --threads 39;,1465.4869,workload: --max-ops 15000 --threads 64;,2471.4525,workload: --max-ops 28333 --threads 48;,2314.3448,workload: --max-ops 25000 --threads 52;,2371.2717,workload: --max-ops 26666 --threads 47;,1497.1386,workload: --max-ops 16666 --threads 47;,1766.3244,workload: --max-ops 18333 --threads 58;,3319.6854,workload: --max-ops 30000 --threads 60;,1457.6094,workload: --max-ops 28333 --threads 8;
